schema,dbms,criterion,datagenerator,randomseed,merges
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,20,15
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,21,13
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,22,17
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,23,17
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,24,16
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,25,13
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,26,18
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,27,15
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,28,16
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,29,14
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,30,18
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,1,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,2,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,3,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,4,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,5,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,6,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,7,4
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,8,4
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,9,3
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,10,4
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,11,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,12,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,13,4
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,14,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,15,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,16,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,17,3
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,18,4
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,19,4
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,20,4
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,21,4
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,22,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,23,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,24,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,25,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,26,4
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,27,4
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,28,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,29,5
BrowserCookies,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,30,6
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,1,40
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,2,40
