identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,14,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,UCColumnA,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,UCColumnA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,UCColumnA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,UCColumnA,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,FKCColumnPairR,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnA,NORMAL,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnA,NORMAL,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnA,NORMAL,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnA,NORMAL,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnR,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnR,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnE,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnE,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnE,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnE,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnE,NORMAL,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,PKCColumnE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,NNCA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,NNCA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,NNCA,NORMAL,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,NNCA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,NNCR,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,NNCR,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,NNCR,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,NNCR,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,NNCR,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,UCColumnA,EQUIVALENT,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,UCColumnA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,UCColumnA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,UCColumnA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,UCColumnA,EQUIVALENT,false,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,UCColumnA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,UCColumnA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,UCColumnA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
8pjljtrk16smf53dwoi1,SQLite,BankAccount,UCColumnA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
iijkhiybfc8lx1m5r7fe,SQLite,BrowserCookies,CCNullifier,NORMAL,true,20,avsDefaults,ClauseAICC+AUCC+ANCC,1
iijkhiybfc8lx1m5r7fe,SQLite,BrowserCookies,CCNullifier,NORMAL,true,19,avsDefaults,ClauseAICC+AUCC+ANCC,1
iijkhiybfc8lx1m5r7fe,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,15,avsDefaults,ClauseAICC+AUCC+ANCC,1
iijkhiybfc8lx1m5r7fe,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,15,avsDefaults,ClauseAICC+AUCC+ANCC,1
iijkhiybfc8lx1m5r7fe,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,14,avsDefaults,ClauseAICC+AUCC+ANCC,1
iijkhiybfc8lx1m5r7fe,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,false,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
iijkhiybfc8lx1m5r7fe,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
